                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                             Generated by UCC v.2014.08f on 10 17 2015                             
                        GUCC -outdir D:\Development\ucc_2014.08zf\count_out                        

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,2,1,Low,Phaser.Rectangle.inflate,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Rectangle.inflatePoint,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Phaser.Rectangle.size,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Phaser.Rectangle.clone,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,6,2,Low,Phaser.Rectangle.contains,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,4,1,Low,Phaser.Rectangle.containsRaw,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Rectangle.containsPoint,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,5,2,Low,Phaser.Rectangle.containsRect,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,4,1,Low,Phaser.Rectangle.equals,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,2,1,Low,Phaser.Rectangle.sameDimensions,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Rectangle.intersection,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,8,2,Low,Phaser.Rectangle.intersects,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,5,2,Low,Phaser.Rectangle.intersectsRaw,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Rectangle.union,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Rectangle.aabb,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,6,5,Low,Phaser.RoundedRectangle,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,7,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Camera,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,6,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,7,7,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,5,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Create,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,7,6,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.State,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Phaser.StateManager,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,7,7,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,5,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,7,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,6,6,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,7,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,16,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,5,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Signal,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,7,6,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,6,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,7,7,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,8,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,7,5,Low,Phaser.SignalBinding,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,6,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,2,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,Phaser.Filter,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Plugin,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.PluginManager,D:\Development\GitHub\Space_Invaders\source\phaser.js
11,14,11,Medium,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Stage,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Stage.prototype.parseConfig,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Stage.prototype.boot,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Stage.prototype.preUpdate,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Stage.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,5,5,Low,Phaser.Stage.prototype.postUpdate,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Stage.prototype.updateTransform,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Stage.prototype.checkVisibility,D:\Development\GitHub\Space_Invaders\source\phaser.js
12,21,12,Medium,Phaser.Stage.prototype.visibilityChange,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Stage.prototype.setBackgroundColor,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Stage.prototype.destroy,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,8,7,Low,Phaser.Group,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,8,6,Low,Phaser.Group.prototype.add,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.addToHash,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.removeFromHash,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Phaser.Group.prototype.addMultiple,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,9,7,Low,Phaser.Group.prototype.addAt,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Phaser.Group.prototype.getAt,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,5,5,Low,Phaser.Group.prototype.create,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.createMultiple,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Group.prototype.updateZ,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Phaser.Group.prototype.resetCursor,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.next,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.previous,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.swap,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Phaser.Group.prototype.bringToTop,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Phaser.Group.prototype.sendToBack,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,Phaser.Group.prototype.moveUp,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,Phaser.Group.prototype.moveDown,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Phaser.Group.prototype.xy,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.reverse,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.getIndex,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Phaser.Group.prototype.replace,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,15,5,Low,Phaser.Group.prototype.hasProperty,D:\Development\GitHub\Space_Invaders\source\phaser.js
27,30,27,High,Phaser.Group.prototype.setProperty,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,Phaser.Group.prototype.checkProperty,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,10,5,Low,Phaser.Group.prototype.set,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,12,6,Low,Phaser.Group.prototype.setAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,13,7,Low,Phaser.Group.prototype.setAllChildren,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,12,7,Low,Phaser.Group.prototype.checkAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.addAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.subAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.multiplyAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.divideAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,6,5,Low,Phaser.Group.prototype.callAllExists,D:\Development\GitHub\Space_Invaders\source\phaser.js
10,10,10,Low,Phaser.Group.prototype.callbackFromArray,D:\Development\GitHub\Space_Invaders\source\phaser.js
10,13,10,Low,Phaser.Group.prototype.callAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,Phaser.Group.prototype.preUpdate,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Group.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.postUpdate,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,6,4,Low,Phaser.Group.prototype.filter,D:\Development\GitHub\Space_Invaders\source\phaser.js
8,12,8,Low,Phaser.Group.prototype.forEach,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.forEachExists,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.forEachAlive,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.forEachDead,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,5,5,Low,Phaser.Group.prototype.sort,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Group.prototype.customSort,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Phaser.Group.prototype.ascendingSortHandler,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Phaser.Group.prototype.descendingSortHandler,D:\Development\GitHub\Space_Invaders\source\phaser.js
8,9,8,Low,Phaser.Group.prototype.iterate,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Group.prototype.getFirstExists,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.getFirstAlive,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.getFirstDead,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Group.prototype.getTop,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.Group.prototype.getBottom,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.countLiving,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.Group.prototype.countDead,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,4,2,Low,Phaser.Group.prototype.getRandom,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,11,7,Low,Phaser.Group.prototype.remove,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,Phaser.Group.prototype.moveAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,9,7,Low,Phaser.Group.prototype.removeAll,D:\Development\GitHub\Space_Invaders\source\phaser.js
10,14,10,Low,Phaser.Group.prototype.removeBetween,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,7,6,Low,Phaser.Group.prototype.destroy,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.World,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.World.prototype.boot,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.World.prototype.stateChange,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.World.prototype.setBounds,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Phaser.World.prototype.resize,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.World.prototype.shutdown,D:\Development\GitHub\Space_Invaders\source\phaser.js
16,20,16,Medium,Phaser.World.prototype.wrap,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.FlexGrid,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.FlexLayer,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.FlexLayer.prototype.resize,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Phaser.FlexLayer.prototype.debug,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Phaser.ScaleManager,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,10,6,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,5,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,8,7,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,8,6,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,5,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,9,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
10,14,10,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,7,6,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,9,7,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,9,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
9,13,9,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,7,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
